,phi,q
0,0.5356803359257114,0.6850304685638815
1,0.5012540727049861,0.02517339017683018
2,0.5017662884972104,0.9609859565194555
3,0.5407229392407031,0.8700626806537765
4,0.5091350252431132,0.7257497071029585
5,0.5085232184950303,0.5898512822884764
6,0.5291358475911532,0.0606689815390552
7,0.5205372184337991,0.7452769669343533
8,0.5096186517376413,0.2510004749615212
9,0.5418942608433605,0.648352477813609
10,0.5517305014763194,0.42910221078081223
11,0.5063597735094385,0.4463628154761399
12,0.49197301815926975,0.5101755308111853
13,0.5182420310317102,0.16190381030897294
14,0.5265033847619148,0.7586505153285557
15,0.4755338832107576,0.8062937219304372
16,0.5227465631559348,0.6352304025691015
17,0.5107835456236622,0.8742995985739815
18,0.5171364957862068,0.6925292268338349
19,0.5161734334932677,0.8324583702110556
20,0.5134508012987324,0.14855297013749136
21,0.5234416046070409,0.3185421871229406
22,0.5395187945232673,0.8322724936654073
23,0.5195499390449467,0.6604555276470404
24,0.49592186386665027,0.42505843848068237
25,0.5132459080074772,0.05728194845364465
26,0.5243177273156578,0.11158677482416812
27,0.5192207203878236,0.6744020559994939
28,0.4976386989400733,0.127098121234143
29,0.5008348597438612,0.9340183059697456
30,0.5007424724515327,0.46250591708117395
31,0.505023579733242,0.8052707781707469
32,0.5509890543971239,0.0050621473513206006
33,0.5182714098836149,0.9223647907968421
34,0.5232121920701546,0.480124798837106
35,0.4937223484932153,0.03685322427215387
36,0.5150852816089475,0.9617689843509802
37,0.5078964324256752,0.9297799435207843
38,0.5249885969007457,0.28104281237628237
39,0.5060348355575566,0.5480242981278048
40,0.5002049930375697,0.8776398986314438
41,0.5173780345658157,0.9301126079655209
42,0.5031715242829297,0.8962333727175225
43,0.5160703821305772,0.4473061525615427
44,0.5357162365267758,0.5404742880981137
45,0.5178261631700016,0.7789751170447351
46,0.5018752157652371,0.3068589832350882
47,0.5227142623064172,0.09144179901214211
48,0.5289819824970621,0.8397378846105966
49,0.5298192613714461,0.4198078730962571
50,0.5435273463661858,0.9589721934889006
51,0.5144192081484553,0.8276794106764166
52,0.5165369831258029,0.6496714745852975
53,0.5429238995378475,0.010165193151624785
54,0.5593993338293807,0.4751039455760835
55,0.5585378662312901,0.19055132922406437
56,0.5053333085317273,0.5776147589563495
57,0.5176732319001314,0.22967875405727023
58,0.546861723395569,0.05657065469556166
59,0.5298192613714461,0.9961365593030375
60,0.5037403463024075,0.03262734986000171
61,0.5158468560372993,0.5966330478303268
62,0.5129678007694884,0.08185012398243485
63,0.5221868578368252,0.13093661912456822
64,0.5133438270799129,0.5912779149769444
65,0.5236734302958548,0.8452904729812657
66,0.4968846102839819,0.21870838015548744
67,0.5024593075249557,0.34067414943438645
68,0.5150588875949991,0.5978540222616303
69,0.544737988412306,0.9499713360851035
70,0.5088076159752022,0.2183730432104949
71,0.5233015727509425,0.6951946370073363
72,0.5215824772411274,0.367680315544037
73,0.5196095651298214,0.40152694348132534
74,0.530459389625737,0.7539649309601664
75,0.5367205854306585,0.6244122568706286
76,0.5053386924390055,0.10816651148738132
77,0.49802711186965215,0.5619659222509603
78,0.5285275810254132,0.14829027219422974
79,0.5408061089590401,0.393515779562695
80,0.5585378662312901,0.7183835354939283
81,0.5123276725151975,0.7247705501462663
82,0.4976386989400733,0.09103248299293976
83,0.5106912824032557,0.6303714010431737
84,0.5194138760718161,0.3793047912877586
85,0.5211492815002341,0.8421479764191617
86,0.5252508006248261,0.4167857512254314
87,0.5141937199576472,0.45147987597468
88,0.5141151759309809,0.8292728014620911
89,0.5233072129045458,0.5920801974883134
90,0.520760399932714,0.8292531800194141
91,0.508318153915686,0.3787037499762548
92,0.5091350252431132,0.7146865474029088
93,0.48367285266001775,0.7242621286548465
94,0.4978908467783358,0.822830121241651
95,0.5392963805242929,0.4777346217947921
96,0.5205347980901918,0.991341626965296
97,0.5213600632421529,0.8911197409691869
98,0.5139638734867849,0.2771330784808611
99,0.49786999331459947,0.8809371056430831
100,0.5164653044703,0.7394914680767717
101,0.5058706738183733,0.6604291450673783
102,0.5192207203878236,0.31096919502305864
103,0.521466940973631,0.16455970616563165
104,0.5250580410623432,0.5105088667532163
105,0.5346280846424554,0.5761198354802045
106,0.5341907532396993,0.2696548632707888
107,0.5221868578368252,0.21368615439822358
108,0.5396876263616878,0.42576261759148704
109,0.5178914550040223,0.20436592193828895
110,0.5221868578368252,0.5507713083359557
111,0.5409203826033702,0.1331207313334578
112,0.49702406292277773,0.30542944859761456
113,0.5154833336933595,0.665974298055521
114,0.5227461989833443,0.29058540305265756
115,0.5292453101193599,0.5150898654472449
116,0.5428809728356467,0.5600329468280494
117,0.5094852779768422,0.1535793686861292
