,phi,q
count,2524.0,2524.0
mean,0.48933837382542494,0.5015575628496584
std,0.011172714575140592,0.2893933007183079
min,0.4468442713105084,1.8180455116700855e-05
25%,0.4817542617025887,0.24967335345861283
50%,0.4894600220566908,0.4986049773425464
75%,0.49707777546664594,0.7492545796658681
max,0.5167512986107161,0.9994277736878786
