,phi,q
count,2528.0,2528.0
mean,0.3152595287152954,0.49848261734729093
std,0.010678484104549904,0.28917995028399546
min,0.2769370122276468,0.00028779735855655186
25%,0.3083549779848855,0.25012628842942425
50%,0.31608969519596064,0.49584773371593116
75%,0.32255589409833957,0.7500614218158005
max,0.3484685079104103,0.9995535992399454
