,phi,q
count,2500.0,2500.0
mean,0.4980260982143861,0.5041325366268297
std,0.00808941269554783,0.28792494242402183
min,0.47552871693131704,4.430430625468329e-05
25%,0.4923648753483638,0.25511114993445305
50%,0.49682422346890076,0.5058800261397836
75%,0.5037226557921838,0.7559528162755403
max,0.5260815263885088,0.9995351909060276
